===== QUEUE_PREPARE A_field_d0 outcome=EXACT — CUMULATIVE =====
         10986928 function calls (10760149 primitive calls) in 7.912 seconds

   Ordered by: cumulative time
   List reduced from 1567 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
7998/5831    0.065    0.000    1.028    0.000 /usr/local/lib/python3.11/dist-packages/sympy/core/operations.py:62(__new__)
440456/440358    0.056    0.000    0.066    0.000 {built-in method builtins.isinstance}
      498    0.052    0.000    0.086    0.000 /usr/local/lib/python3.11/dist-packages/sympy/ntheory/factor_.py:1045(_trial)
    49614    0.050    0.000    0.099    0.000 /usr/local/lib/python3.11/dist-packages/sympy/core/sympify.py:124(sympify)
    67564    0.049    0.000    0.066    0.000 /usr/lib/python3.11/fractions.py:62(__new__)
   196912    0.046    0.000    0.057    0.000 /usr/local/lib/python3.11/dist-packages/sympy/core/facts.py:633(<genexpr>)
97867/74554    0.039    0.000    0.138    0.000 {built-in method builtins.all}
    19546    0.038    0.000    0.073    0.000 /usr/lib/python3.11/fractions.py:484(_mul)
     7964    0.037    0.000    0.107    0.000 /usr/local/lib/python3.11/dist-packages/mpmath/ctx_iv.py:413(convert)
116899/95116    0.037    0.000    0.060    0.000 /usr/local/lib/python3.11/dist-packages/sympy/core/basic.py:315(__hash__)
     2510    0.035    0.000    0.037    0.000 /usr/local/lib/python3.11/dist-packages/sympy/core/operations.py:452(make_args)
   362191    0.027    0.000    0.038    0.000 /usr/local/lib/python3.11/dist-packages/sympy/ntheory/generate.py:188(primerange)
     1860    0.027    0.000    0.298    0.000 /usr/local/lib/python3.11/dist-packages/sympy/core/add.py:197(flatten)
15330/11728    0.027    0.000    0.045    0.000 /usr/local/lib/python3.11/dist-packages/sympy/core/basic.py:497(__eq__)
    13571    0.027    0.000    0.049    0.000 /usr/lib/python3.11/fractions.py:452(_add)
   188321    0.027    0.000    0.069    0.000 {method 'get' of 'dict' objects}
    10932    0.026    0.000    0.057    0.000 /usr/local/lib/python3.11/dist-packages/sympy/core/mul.py:483(_gather)
    40954    0.024    0.000    0.105    0.000 /usr/local/lib/python3.11/dist-packages/sympy/core/sympify.py:514(_sympify)
12191/10081    0.024    0.000    0.243    0.000 /usr/local/lib/python3.11/dist-packages/sympy/core/numbers.py:1927(__mul__)
7904/1292    0.024    0.000    0.224    0.000 /tmp/claude-0/-home-user-CFTUV/4255c1b9-7873-5749-a1f5-eb79eb899ce6/scratchpad/wt-perfdiag/kernel/src/cftuv_envelope/_density_policy.py:30(density_interval_enclosure)
    35402    0.023    0.000    0.059    0.000 /usr/local/lib/python3.11/dist-packages/sympy/core/numbers.py:1697(__hash__)
    97856    0.021    0.000    0.021    0.000 /usr/local/lib/python3.11/dist-packages/sympy/core/facts.py:582(_tell)
   106887    0.021    0.000    0.023    0.000 {built-in method builtins.min}
     7633    0.021    0.000    0.043    0.000 /usr/local/lib/python3.11/dist-packages/sympy/core/intfunc.py:162(igcd)
2031/1740    0.020    0.000    0.498    0.000 /usr/local/lib/python3.11/dist-packages/sympy/core/power.py:136(__new__)
    35438    0.020    0.000    0.036    0.000 /usr/local/lib/python3.11/dist-packages/sympy/core/numbers.py:546(__hash__)
    35340    0.019    0.000    0.153    0.000 /usr/lib/python3.11/fractions.py:357(forward)
24882/1735    0.019    0.000    0.052    0.000 /usr/local/lib/python3.11/dist-packages/sympy/core/expr.py:432(is_number)
    56481    0.019    0.000    0.026    0.000 /usr/local/lib/python3.11/dist-packages/sympy/core/numbers.py:2011(__hash__)
    11801    0.019    0.000    0.030    0.000 /usr/local/lib/python3.11/dist-packages/sympy/core/operations.py:118(_from_args)
     3640    0.019    0.000    0.019    0.000 {built-in method builtins.pow}
71322/5190    0.017    0.000    0.049    0.000 /usr/local/lib/python3.11/dist-packages/sympy/core/expr.py:482(<genexpr>)
   112178    0.017    0.000    0.017    0.000 {built-in method __new__ of type object at 0x928000}
